"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"Ridge",1,"Regularization",90,0.00247558122646766,0.00180305060677989,0.00126509388048438,0.287999291932665,"cumulative_log_change",0.279842400967158,0.206023402755258,0.145001808891911,0.180774843755567,2.23301109208772,0.00247558122646766,0.00180305060677989,0.00126509388048438,0.287999291932665
"RW",1,"Baseline",90,0.0035036271354617,0.00292601208277956,0.00275646517864656,,"cumulative_log_change",0.405738051785464,0.338744444444442,0.321077777777778,0.293187214075378,3.59732487254716,0.0035036271354617,0.00292601208277956,0.00275646517864656,
"BorutaRF",3,"FeatureSelection+Tree",90,0.00475641353209912,0.00349160411266236,0.00199870132783368,0.573203781422024,"cumulative_log_change",0.533917487169887,0.395488391004227,0.229830748044805,0.351982665484574,1.44256950336098,0.00475641353209912,0.00349160411266236,0.00199870132783368,0.573203781422024
"AR(4)",3,"Baseline",90,0.00520221859586588,0.00400322369394049,0.00223515318619151,0.477829750829001,"cumulative_log_change",0.589773186347189,0.456836223184104,0.261610711548678,0.403732474626627,1.65675432184625,0.00520221859586588,0.00400322369394049,0.00223515318619151,0.477829750829001
"RandomForest",3,"Tree",90,0.00551330048230073,0.00416243571278167,0.00277108051095259,0.433506531071115,"cumulative_log_change",0.616680014716028,0.471097915743678,0.318074287186743,0.41950528254935,1.71802788472314,0.00551330048230073,0.00416243571278167,0.00277108051095259,0.433506531071115
"Ensemble_InvRMSE",3,"Ensemble",90,0.00597688557554059,0.00445618472659136,0.00338025602019634,0.358564659863595,"cumulative_log_change",0.673943052670925,0.508113214992156,0.39040091040636,0.44914771086266,1.83988459537842,0.00597688557554059,0.00445618472659136,0.00338025602019634,0.358564659863595
"XGBoost",3,"Boosting",90,0.0060052677019004,0.00449712521596515,0.0033372869768559,0.32678392335207,"cumulative_log_change",0.68083749414209,0.512758930870492,0.386560022049309,0.453400144061679,1.85879676560901,0.0060052677019004,0.00449712521596515,0.0033372869768559,0.32678392335207
"Ensemble_Median",3,"Ensemble",90,0.00603833966603376,0.00450781909367942,0.00327354881990074,0.274213955642391,"cumulative_log_change",0.682885307327702,0.513693977137002,0.379449748125485,0.454416657806132,1.86222925118994,0.00603833966603376,0.00450781909367942,0.00327354881990074,0.274213955642391
"Ensemble_Mean",3,"Ensemble",90,0.00607595197380738,0.00456096776078324,0.00354800631368973,0.354339280296231,"cumulative_log_change",0.68681647182802,0.520956005432308,0.410746143925196,0.459691663988561,1.88285622150509,0.00607595197380738,0.00456096776078324,0.00354800631368973,0.354339280296231
"LASSO",3,"Regularization",90,0.00647940321610093,0.00472403105701865,0.00352116520600769,0.205921645699944,"cumulative_log_change",0.728010732095135,0.537569841788105,0.406873241972892,0.476010790295647,1.94833703320755,0.00647940321610093,0.00472403105701865,0.00352116520600769,0.205921645699944
