"horizon","model","model_family","n_evaluation","RMSE","MAE","bias","correlation","benchmark_RMSE","benchmark_MAE","relative_RMSE","relative_MAE","RMSE_rank","MAE_rank"
6,"LASSO","Regularization",90,0.0232810448658543,0.00967689914181124,-0.000411297629377132,-0.0285998658397438,0.0262312756974962,0.0125488898531853,0.887530028441447,0.771135873772524,10,9
6,"RW","Baseline",90,0.0262312756974962,0.0125488898531853,-3.28452284715416e-06,0.0286023286338839,0.0262312756974962,0.0125488898531853,1,1,11,12
6,"ElasticNet","Regularization",90,0.0309747740827534,0.012027317056185,-0.00033777502926196,0.132164932120735,0.0262312756974962,0.0125488898531853,1.18083369028483,0.958436737982212,12,11
12,"ElasticNet","Regularization",90,0.0188971353410735,0.00824311121443299,-0.00137654159237308,-0.0694832778412585,0.0267473233986284,0.0134729281374319,0.706505658881836,0.61182774303762,1,2
12,"LASSO","Regularization",90,0.0188971353410735,0.00824311121443299,-0.00137654159237308,-0.0694832778412585,0.0267473233986284,0.0134729281374319,0.706505658881836,0.61182774303762,1,2
12,"Ridge","Regularization",90,0.0189050915562343,0.00824174042028019,-0.00129770753189337,-0.0990170439406848,0.0267473233986284,0.0134729281374319,0.706803117249621,0.61172599869973,3,1
12,"XGBoost","Boosting",90,0.0189065450498445,0.00829910030771919,-0.00127315604898796,0.00416846418161584,0.0267473233986284,0.0134729281374319,0.706857458896765,0.615983416749755,4,5
12,"Ensemble_Median","Ensemble",90,0.0189081211135751,0.00825858987293957,-0.00132543334438854,-0.111823188367399,0.0267473233986284,0.0134729281374319,0.706916383063014,0.612976614192331,5,4
12,"AR(4)","Baseline",90,0.0189700210707379,0.00842489915530166,-0.001356691547427,-0.038664520568593,0.0267473233986284,0.0134729281374319,0.709230631716616,0.625320573921474,6,6
12,"Ensemble_InvRMSE","Ensemble",90,0.0190801733812245,0.00851180908066531,-0.000631044362424626,-0.0459513009670447,0.0267473233986284,0.0134729281374319,0.713348887171378,0.631771281924746,7,8
12,"Ensemble_Mean","Ensemble",90,0.019081793633271,0.00850796076414318,-0.000629831866666835,-0.04829233865745,0.0267473233986284,0.0134729281374319,0.713409463402588,0.631485648654616,8,7
12,"RandomForest","Tree",90,0.0193439814658727,0.00914978365558574,0.000720436368464384,-0.101806933608608,0.0267473233986284,0.0134729281374319,0.723211858531783,0.679123614573797,9,10
12,"Factor","Factor",90,0.0197332583966951,0.00907407289150516,-0.00114593529186003,-0.0910222834403858,0.0267473233986284,0.0134729281374319,0.737765723418403,0.673504140966554,10,9
12,"BorutaRF","FeatureSelection+Tree",90,0.0205721233412167,0.0107571016459717,0.00155730499340751,-0.00649123591600412,0.0267473233986284,0.0134729281374319,0.769128298731814,0.798423441158664,11,11
12,"RW","Baseline",90,0.0267473233986284,0.0134729281374319,-0.000119654556958901,-0.0073680661385609,0.0267473233986284,0.0134729281374319,1,1,12,12
