"target_code","horizon","target_name","model","model_family","winner_windows_fractional","winner_window_appearances","total_windows","winner_frequency_fractional","winner_appearance_rate"
"PCEPI",3,"Personal Consumption Expenditures Price Index [PCEPI]","RW","Baseline",17,17,79,0.215189873417722,0.215189873417722
"PCEPI",3,"Personal Consumption Expenditures Price Index [PCEPI]","AR(4)","Baseline",10,10,79,0.126582278481013,0.126582278481013
"PCEPI",3,"Personal Consumption Expenditures Price Index [PCEPI]","RandomForest","Tree",8,8,79,0.10126582278481,0.10126582278481
"PCEPI",3,"Personal Consumption Expenditures Price Index [PCEPI]","Factor","Factor",5,5,79,0.0632911392405063,0.0632911392405063
"PCEPI",3,"Personal Consumption Expenditures Price Index [PCEPI]","ElasticNet","Regularization",2,2,79,0.0253164556962025,0.0253164556962025
"PCEPI",3,"Personal Consumption Expenditures Price Index [PCEPI]","XGBoost","Boosting",2,2,79,0.0253164556962025,0.0253164556962025
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","BorutaRF","FeatureSelection+Tree",17,17,79,0.215189873417722,0.215189873417722
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","RW","Baseline",13,13,79,0.164556962025316,0.164556962025316
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","RandomForest","Tree",10,10,79,0.126582278481013,0.126582278481013
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","Factor","Factor",8,8,79,0.10126582278481,0.10126582278481
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","Ensemble_Mean","Ensemble",7.5,8,79,0.0949367088607595,0.10126582278481
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","LASSO","Regularization",7,7,79,0.0886075949367089,0.0886075949367089
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","Ensemble_InvRMSE","Ensemble",3.5,4,79,0.0443037974683544,0.0506329113924051
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","AR(4)","Baseline",3,3,79,0.0379746835443038,0.0379746835443038
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","ElasticNet","Regularization",3,3,79,0.0379746835443038,0.0379746835443038
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","Ridge","Regularization",3,3,79,0.0379746835443038,0.0379746835443038
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","Ensemble_Median","Ensemble",2,2,79,0.0253164556962025,0.0253164556962025
"PCEPI",6,"Personal Consumption Expenditures Price Index [PCEPI]","XGBoost","Boosting",2,2,79,0.0253164556962025,0.0253164556962025
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","RandomForest","Tree",20,20,79,0.253164556962025,0.253164556962025
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","BorutaRF","FeatureSelection+Tree",18,18,79,0.227848101265823,0.227848101265823
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","AR(4)","Baseline",13,13,79,0.164556962025316,0.164556962025316
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","RW","Baseline",12,12,79,0.151898734177215,0.151898734177215
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","Ensemble_Mean","Ensemble",8,8,79,0.10126582278481,0.10126582278481
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","ElasticNet","Regularization",2,2,79,0.0253164556962025,0.0253164556962025
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","Ridge","Regularization",2,2,79,0.0253164556962025,0.0253164556962025
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","XGBoost","Boosting",2,2,79,0.0253164556962025,0.0253164556962025
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","Ensemble_InvRMSE","Ensemble",1,1,79,0.0126582278481013,0.0126582278481013
"PCEPI",12,"Personal Consumption Expenditures Price Index [PCEPI]","LASSO","Regularization",1,1,79,0.0126582278481013,0.0126582278481013
