"track","track_label","horizon","loss","model","model_family","n_evaluation","mean_loss","loss_rank","in_mcs","mcs_rank","mcs_stage_p_value","mcs_p_value","mcs_statistic_value","mcs_detail_status","mcs_output_format","mcs_statistic","alpha","confidence_level","bootstrap_samples","block_length","mcs_package_version","mcs_object_class","mcs_status","status_message","target_code","target_name"
"monthly_transformed","Target-month transformed change",3,"AE","XGBoost","Boosting",88,0.00225615505961711,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","Ensemble_Mean","Ensemble",88,0.00226058472654797,2,TRUE,,0.9612,0.9612,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","Ensemble_InvRMSE","Ensemble",88,0.00227427140107059,3,TRUE,,0.7414,0.9112,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","AR(4)","Baseline",88,0.00228590936750406,4,TRUE,,0.9112,0.9112,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","ElasticNet","Regularization",88,0.00230910608048187,5,TRUE,,0.6158,0.8548,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","Ensemble_Median","Ensemble",88,0.00231063166968701,6,TRUE,,0.6194,0.8548,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","LASSO","Regularization",88,0.00231347408311868,7,TRUE,,0.5864,0.8548,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RandomForest","Tree",88,0.00241684487198059,8,TRUE,,0.5226,0.684,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","BorutaRF","FeatureSelection+Tree",88,0.00241787620504805,9,TRUE,,0.8548,0.8548,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","Ridge","Regularization",88,0.00245232285202469,10,TRUE,,0.659,0.684,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","Factor","Factor",88,0.0025660291435847,11,TRUE,,0.684,0.684,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"AE","RW","Baseline",88,0.00278362546399798,12,TRUE,,0.3892,0.3892,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RandomForest","Tree",88,9.61758567926376e-06,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","Ensemble_Mean","Ensemble",88,9.69492286223216e-06,2,TRUE,,0.8466,0.9274,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","Ensemble_InvRMSE","Ensemble",88,9.73311878133621e-06,3,TRUE,,0.7306,0.9274,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","BorutaRF","FeatureSelection+Tree",88,9.9163721614476e-06,4,TRUE,,0.9274,0.9274,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","Ensemble_Median","Ensemble",88,1.03280783722286e-05,5,TRUE,,0.6766,0.7596,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","XGBoost","Boosting",88,1.04274099290559e-05,6,TRUE,,0.5732,0.7596,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","AR(4)","Baseline",88,1.06000395497635e-05,7,TRUE,,0.5842,0.7596,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","LASSO","Regularization",88,1.12674814101713e-05,8,TRUE,,0.4506,0.7596,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","ElasticNet","Regularization",88,1.15168083916647e-05,9,TRUE,,0.7596,0.7596,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","Factor","Factor",88,1.16173202972692e-05,10,TRUE,,0.4626,0.7596,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","Baseline",88,1.34109719090738e-05,11,TRUE,,0.722,0.7596,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","Ridge","Regularization",88,1.35919518133011e-05,12,TRUE,,0.5188,0.5188,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RandomForest","Tree",88,0.00225835289461289,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","AR(4)","Baseline",88,0.00226911129560062,2,TRUE,,0.9242,0.9968,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","Ensemble_Mean","Ensemble",88,0.00227702026734555,3,TRUE,,0.9394,0.9968,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","Ensemble_Median","Ensemble",88,0.00227786031479504,4,TRUE,,0.977,0.9968,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","XGBoost","Boosting",88,0.00228088009030192,5,TRUE,,0.9804,0.9968,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","Ensemble_InvRMSE","Ensemble",88,0.00228153870171004,6,TRUE,,0.996,0.9968,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","BorutaRF","FeatureSelection+Tree",88,0.00229898923029673,7,TRUE,,0.9968,0.9968,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","Factor","Factor",88,0.00235753698928176,8,TRUE,,0.8172,0.8172,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","LASSO","Regularization",88,0.00239816674238764,9,TRUE,,0.5204,0.597,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","ElasticNet","Regularization",88,0.00242778350364087,10,TRUE,,0.4736,0.597,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","Ridge","Regularization",88,0.00250853284538453,11,TRUE,,0.5192,0.597,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","Baseline",88,0.00277569199637842,12,TRUE,,0.597,0.597,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,5,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","Ensemble_Median","Ensemble",88,1.02808231993527e-05,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","Ridge","Regularization",88,1.03759211422332e-05,2,TRUE,,0.5508,0.993,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","LASSO","Regularization",88,1.03791344255978e-05,3,TRUE,,0.9282,0.993,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","XGBoost","Boosting",88,1.03983215906485e-05,4,TRUE,,0.9756,0.993,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","Ensemble_Mean","Ensemble",88,1.04400631687934e-05,5,TRUE,,0.993,0.993,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","ElasticNet","Regularization",88,1.0456949099057e-05,6,TRUE,,0.9166,0.979,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","Ensemble_InvRMSE","Ensemble",88,1.05251693260953e-05,7,TRUE,,0.9788,0.9788,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
