"track","track_label","horizon","loss","benchmark_model","model","model_family","n_evaluation","mean_model_loss","mean_benchmark_loss","mean_loss_difference","relative_loss","dm_statistic","dm_p_value","dm_p_value_adjusted","p_adjust_method","significance_level","significant_better","significant_worse","conclusion","dm_test_status","status_message","target_code","target_name"
"monthly_transformed","Target-month transformed change",6,"AE","RW","Ensemble_Mean","Ensemble",88,0.00227702026734555,0.00277569199637842,-0.000498671729032877,0.820343276673522,-1.35254012513062,0.179707591655495,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","Ensemble_Median","Ensemble",88,0.00227786031479504,0.00277569199637842,-0.000497831681583384,0.82064592100531,-1.18464371687242,0.239384497267118,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","XGBoost","Boosting",88,0.00228088009030192,0.00277569199637842,-0.000494811906076506,0.821733857098659,-1.14523758819471,0.255251417059451,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","Ensemble_InvRMSE","Ensemble",88,0.00228153870171004,0.00277569199637842,-0.000494153294668379,0.821971135373404,-1.33817490354531,0.184326455883545,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","BorutaRF","FeatureSelection+Tree",88,0.00229898923029673,0.00277569199637842,-0.000476702766081697,0.82825804638855,-1.39333875817144,0.167067012431103,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","Factor","Factor",88,0.00235753698928176,0.00277569199637842,-0.000418155007096668,0.849351077986227,-1.02695941528875,0.307286422338402,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","LASSO","Regularization",88,0.00239816674238764,0.00277569199637842,-0.000377525253990781,0.86398878028133,-0.898608415239891,0.3713415783872,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","ElasticNet","Regularization",88,0.00242778350364087,0.00277569199637842,-0.00034790849273755,0.874658826270536,-0.832101021994513,0.407630152291584,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","Ridge","Regularization",88,0.00250853284538453,0.00277569199637842,-0.000267159150993889,0.903750433642326,-0.626317716955455,0.532746465621676,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","RW","Ensemble_Median","Ensemble",88,1.02808231993527e-05,1.77672454048057e-05,-7.48642220545305e-06,0.578639117382365,-1.48100486291085,0.142217964581581,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","RW","Ridge","Regularization",88,1.03759211422332e-05,1.77672454048057e-05,-7.39132426257251e-06,0.583991547695216,-1.45033172447906,0.150561827278349,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","RW","LASSO","Regularization",88,1.03791344255978e-05,1.77672454048057e-05,-7.38811097920789e-06,0.5841724020309,-1.47726139099332,0.143216507644141,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","RW","XGBoost","Boosting",88,1.03983215906485e-05,1.77672454048057e-05,-7.36892381415725e-06,0.585252319857973,-1.43479330423741,0.154931108960841,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","RW","Ensemble_Mean","Ensemble",88,1.04400631687934e-05,1.77672454048057e-05,-7.32718223601227e-06,0.58760167549493,-1.54123139026528,0.126890057337459,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",12,"SE","RW","ElasticNet","Regularization",88,1.0456949099057e-05,1.77672454048057e-05,-7.31029630574869e-06,0.588552072130923,-1.44537510222558,0.151945089463303,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
