"target_code","target_name","horizon","model","model_family","loss","n_evaluation","net_loss_reduction_vs_RW","gross_positive_loss_reduction","gross_loss_deterioration","share_months_better_than_RW","top_months","top_months_share_of_positive_reduction","top_months_share_of_deterioration"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ridge","Regularization","SE",88,-5.26714346848067e-05,0.000490324840090762,0.000542996274775568,0.647727272727273,12,0.689479080617355,0.910078823877548
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Factor","Factor","SE",88,-0.000356943357034311,0.000469708046665349,0.00082665140369966,0.625,12,0.703160650824423,0.933191018933549
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"RandomForest","Tree","AE",88,0.0455258409553667,0.0965929221346841,0.0510670811793174,0.568181818181818,12,0.591335346704953,0.669123262595863
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"AR(4)","Baseline","AE",88,0.0445791016684469,0.102674076465136,0.0580949747966892,0.579545454545455,12,0.59618032424087,0.693485551635523
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Ensemble_Mean","Ensemble","AE",88,0.0438831121548932,0.0898598880786646,0.0459767759237714,0.545454545454545,12,0.593593343933598,0.699158012608148
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Ensemble_Median","Ensemble","AE",88,0.0438091879793378,0.098566183017463,0.0547569950381252,0.556818181818182,12,0.603040433700257,0.715077614048443
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"XGBoost","Boosting","AE",88,0.0435434477347325,0.100737064808158,0.057193617073426,0.579545454545455,12,0.609076878916092,0.690937795463473
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Ensemble_InvRMSE","Ensemble","AE",88,0.0434854899308173,0.0897933885304064,0.0463078985995891,0.545454545454545,12,0.591801284407612,0.698691515000224
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"BorutaRF","FeatureSelection+Tree","AE",88,0.0419498434151893,0.0927459490666733,0.050796105651484,0.556818181818182,12,0.573712923991099,0.672483385910047
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Factor","Factor","AE",88,0.0367976406245068,0.0928903601002865,0.0560927194757797,0.568181818181818,12,0.598190550108804,0.689152014731697
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"LASSO","Regularization","AE",88,0.0332222223511887,0.0969701923693397,0.0637479700181511,0.556818181818182,12,0.600553716784009,0.701254736045769
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"ElasticNet","Regularization","AE",88,0.0306159473609044,0.09438495710341,0.0637690097425056,0.556818181818182,12,0.594721477462871,0.705644958940892
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Ridge","Regularization","AE",88,0.0235100052874622,0.0912431660804957,0.0677331607930335,0.522727272727273,12,0.599745544802223,0.70419725579227
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"RW","Baseline","AE",88,0,0,0,0,12,,
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"RandomForest","Tree","SE",88,0.000333817988223288,0.000671334567536422,0.000337516579313133,0.568181818181818,12,0.788024913762768,0.81661634072776
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Ensemble_Mean","Ensemble","SE",88,0.000327012316122068,0.000646040220263811,0.000319027904141743,0.545454545454545,12,0.792343069629495,0.838375529351591
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Ensemble_InvRMSE","Ensemble","SE",88,0.000323651075240913,0.000644633351155406,0.000320982275914493,0.545454545454545,12,0.791437477113731,0.837745588697811
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"BorutaRF","FeatureSelection+Tree","SE",88,0.00030752477779111,0.000613750657960178,0.000306225880169068,0.556818181818182,12,0.775305846892005,0.811803391322286
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Ensemble_Median","Ensemble","SE",88,0.000271294631242378,0.000689236681218509,0.00041794204997613,0.556818181818182,12,0.796433497680263,0.859599617793817
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"XGBoost","Boosting","SE",88,0.000262553454241581,0.00069466590359739,0.000432112449355809,0.579545454545455,12,0.798188982170208,0.838820493915035
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"AR(4)","Baseline","SE",88,0.000247362047619312,0.000697766870949402,0.00045040482333009,0.579545454545455,12,0.791622351061513,0.853655019425482
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"LASSO","Regularization","SE",88,0.000188627163903428,0.000685465239317386,0.000496838075413958,0.556818181818182,12,0.795962911506513,0.843776783854445
