"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"RandomForest",12,"Tree",89,3.07606776912792,1.99795371410737,-0.490107958801498,-0.131319104589817,"cumulative_arithmetic_change",3.07606776912792,1.99795371410737,-0.490107958801498,42.4762274350691,42.4762274350691,,,,
"BorutaRF",12,"FeatureSelection+Tree",89,3.08626971762064,2.0857095505618,-0.459209488139825,-0.0137765919150489,"cumulative_arithmetic_change",3.08626971762064,2.0857095505618,-0.459209488139825,45.8918986732221,45.8918986732221,,,,
"LASSO",12,"Regularization",89,3.09200474172659,1.62373920732264,0.172065883947555,-0.293725046559343,"cumulative_arithmetic_change",3.09200474172659,1.62373920732264,0.172065883947555,33.727122675989,33.727122675989,,,,
"Ensemble_Median",12,"Ensemble",89,3.12448137570569,1.61560193187954,0.0386463627109901,-0.382754732704353,"cumulative_arithmetic_change",3.12448137570569,1.61560193187954,0.0386463627109901,32.2804221976955,32.2804221976955,,,,
"Ensemble_InvRMSE",12,"Ensemble",89,3.14667882242355,1.53806282348226,-0.0635014146813827,-0.292886218208623,"cumulative_arithmetic_change",3.14667882242355,1.53806282348226,-0.0635014146813827,30.5881609049503,30.5881609049503,,,,
"Ensemble_Mean",12,"Ensemble",89,3.1482183183468,1.53116985374967,-0.0510963050650447,-0.295763388046418,"cumulative_arithmetic_change",3.1482183183468,1.53116985374967,-0.0510963050650446,30.4005712731989,30.4005712731989,,,,
"ElasticNet",12,"Regularization",89,3.20941433288407,1.65717237348545,0.134122866816517,-0.352365673635486,"cumulative_arithmetic_change",3.20941433288407,1.65717237348545,0.134122866816517,33.9255858341287,33.9255858341287,,,,
"Ridge",12,"Regularization",89,3.3931095144559,1.6357930144066,0.022327791072206,-0.309998228893702,"cumulative_arithmetic_change",3.3931095144559,1.6357930144066,0.0223277910722059,32.1078356800001,32.1078356800001,,,,
"Factor",12,"Factor",89,4.28708627389352,1.7864196493838,0.0788012540105207,-0.107216739936268,"cumulative_arithmetic_change",4.28708627389352,1.7864196493838,0.0788012540105207,36.0856210511329,36.0856210511329,,,,
"AR(4)",12,"Baseline",89,4.42470323823356,1.95626498626728,-0.0412662387919593,-0.359093517068281,"cumulative_arithmetic_change",4.42470323823356,1.95626498626728,-0.0412662387919593,35.6145329488857,35.6145329488857,,,,
